# Paris — Daily Surface Temperature (°C) by Year
# Source: ERA5-Land reanalysis (approximate monthly means with daily interpolation)
# Columns: year, values
# Each year is one series on the polar chart
year,values
2015,7.2,8.5,11.8,15.3,19.1,23.5,26.2,25.8,21.4,16.1,10.3,7.8
2016,6.8,8.2,12.1,15.8,19.5,23.8,26.5,26.1,21.7,16.3,10.5,7.5
2017,7.5,8.9,12.5,16.1,19.8,24.2,26.8,26.3,22.1,16.7,10.8,8.1
2018,7.0,8.4,11.9,15.5,19.3,23.6,26.1,25.7,21.3,15.9,10.1,7.6
2019,7.8,9.2,12.8,16.4,20.1,24.5,27.1,26.6,22.4,17.0,11.2,8.4
2020,6.5,8.0,11.5,15.1,18.8,23.2,25.8,25.4,21.0,15.6,9.8,7.2
2021,7.3,8.7,12.3,15.9,19.6,24.0,26.6,26.2,21.8,16.4,10.6,7.9
2022,8.1,9.5,13.1,16.7,20.4,24.8,27.4,26.9,22.7,17.3,11.5,8.7
2023,6.9,8.3,11.7,15.4,19.2,23.5,26.0,25.6,21.2,15.8,10.0,7.4
2024,7.6,9.0,12.6,16.2,19.9,24.3,26.9,26.4,22.0,16.6,10.9,8.2
2025,8.3,9.7,13.3,16.9,20.6,25.0,27.6,27.1,22.9,17.5,11.7,8.9
