# Paris — Daily Surface Temperature (°C) by Year
# Source: ERA5-Land reanalysis via Open-Meteo
# Each row: year, then 12 monthly mean temperatures
year,values
2015,4.2,3.7,7.2,11.1,13.6,18.2,21.4,21.0,14.8,11.5,10.7,9.0
2016,5.3,5.7,6.4,9.4,14.1,17.0,19.6,21.0,19.1,11.6,7.5,3.6
2017,1.3,6.5,9.8,9.7,15.6,20.1,20.2,19.2,15.0,13.7,7.6,5.4
2018,7.2,1.3,6.5,12.5,15.5,18.7,22.9,20.7,17.0,13.4,7.7,6.5
2019,3.6,6.0,8.9,10.6,12.8,19.0,21.5,20.0,16.9,13.3,7.6,6.3
2020,5.9,8.2,7.8,13.7,15.3,18.0,20.1,21.8,18.2,12.1,9.1,6.2
2021,4.2,6.1,7.3,8.5,12.4,19.0,19.0,18.3,17.7,11.8,6.3,6.2
2022,4.2,6.9,8.6,10.6,16.2,18.7,21.5,22.0,16.0,15.2,9.4,4.8
2023,5.8,5.5,8.6,9.6,14.4,20.9,20.3,19.5,19.6,14.4,8.8,7.3
2024,3.9,8.7,9.0,11.1,14.5,16.5,19.8,20.5,15.6,13.3,8.3,6.0
2025,4.1,4.9,8.3,13.5,16.0,21.5,20.7,20.8,15.9,12.6,8.8,6.7
